Number,Catch_length,Catch_weight,Catch_date,Catch_location,Recaptures,Recapture_weight,Catch_method,Recapture_location,specificity grade,Recapture_lon,Recapture_lat,Recapture_date,Recapture_length,Recapture_method,Tag,Remark,Catch_lon,Catch_lat
185,17.5,NA,3/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
186,19.5,NA,30/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
187,17.3,NA,9/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
188,23,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
189,19.7,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
190,14.5,NA,20/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
191,16.8,NA,16/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
192,15.8,NA,3/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
193,13.2,NA,24/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
194,19.7,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
195,29.5,NA,20/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
196,12.8,NA,24/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
197,15.3,NA,24/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
198,14.2,NA,3/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
199,16.5,NA,16/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
200,15.5,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
201,18,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
